"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 14 13:00:40 BDT 2024","Thu Mar 14 13:00:52 BDT 2024","12054","Orange HRM Automation","PIM Automation","testrunner.PIMTestRunner","testrunner.PIMTestRunner","employeeRegistration","Verify successful creation of a new employee with valid details",""
"passed","Thu Mar 14 13:01:41 BDT 2024","Thu Mar 14 13:01:43 BDT 2024","1706","Orange HRM Automation","Employee Profile","testrunner.EmployeeProfileTestRunner","testrunner.EmployeeProfileTestRunner","empLoginWithInvalidCred","Verify unsuccessful login as a newly created employee with invalid credentials",""
"passed","Thu Mar 14 13:01:19 BDT 2024","Thu Mar 14 13:01:23 BDT 2024","3396","Orange HRM Automation","PIM Automation","testrunner.PIMTestRunner","testrunner.PIMTestRunner","searchUserWithInvalidName","Search Employee by invalid name",""
"passed","Thu Mar 14 13:00:10 BDT 2024","Thu Mar 14 13:00:13 BDT 2024","2858","Orange HRM Automation","Admin Login","testrunner.LoginTestRunner","testrunner.LoginTestRunner","doLogin","Verify successful login with valid admin credentials",""
"passed","Thu Mar 14 13:00:06 BDT 2024","Thu Mar 14 13:00:08 BDT 2024","1869","Orange HRM Automation","Admin Login","testrunner.LoginTestRunner","testrunner.LoginTestRunner","doLoginWithInvalidCred","Verify unsuccessful login with invalid admin credentials",""
"passed","Thu Mar 14 13:00:58 BDT 2024","Thu Mar 14 13:01:02 BDT 2024","4128","Orange HRM Automation","PIM Automation","testrunner.PIMTestRunner","testrunner.PIMTestRunner","strongPassword","Verify created password matches the requirement",""
"passed","Thu Mar 14 13:01:43 BDT 2024","Thu Mar 14 13:01:44 BDT 2024","1733","Orange HRM Automation","Employee Profile","testrunner.EmployeeProfileTestRunner","testrunner.EmployeeProfileTestRunner","empLoginWithInvalidPass","Verify unsuccessful login as a newly created employee with valid email invalid password",""
"passed","Thu Mar 14 13:01:11 BDT 2024","Thu Mar 14 13:01:15 BDT 2024","3544","Orange HRM Automation","PIM Automation","testrunner.PIMTestRunner","testrunner.PIMTestRunner","searchUserWithInvalidEmpId","Search Employee by invalid ID",""
"passed","Thu Mar 14 13:00:52 BDT 2024","Thu Mar 14 13:00:58 BDT 2024","5843","Orange HRM Automation","PIM Automation","testrunner.PIMTestRunner","testrunner.PIMTestRunner","employeeRegistrationWithMissingDetails","Verify unsuccessful creation of a new employee with missing details",""
"passed","Thu Mar 14 13:01:44 BDT 2024","Thu Mar 14 13:01:46 BDT 2024","1898","Orange HRM Automation","Employee Profile","testrunner.EmployeeProfileTestRunner","testrunner.EmployeeProfileTestRunner","empLoginWithValidCred","Verify successful login as a newly created employee with valid credentials",""
"passed","Thu Mar 14 13:01:46 BDT 2024","Thu Mar 14 13:01:50 BDT 2024","3947","Orange HRM Automation","Employee Profile","testrunner.EmployeeProfileTestRunner","testrunner.EmployeeProfileTestRunner","updateGender","Verify successful update of gender",""
"passed","Thu Mar 14 13:01:15 BDT 2024","Thu Mar 14 13:01:19 BDT 2024","4373","Orange HRM Automation","PIM Automation","testrunner.PIMTestRunner","testrunner.PIMTestRunner","searchUserWithValidName","Search Employee by valid Name",""
"passed","Thu Mar 14 13:01:40 BDT 2024","Thu Mar 14 13:01:41 BDT 2024","1124","Orange HRM Automation","Employee Profile","testrunner.EmployeeProfileTestRunner","testrunner.EmployeeProfileTestRunner","empLoginWithEmptyCred","Verify unsuccessful login as a newly created employee with empty credentials",""
"passed","Thu Mar 14 13:00:08 BDT 2024","Thu Mar 14 13:00:10 BDT 2024","1968","Orange HRM Automation","Admin Login","testrunner.LoginTestRunner","testrunner.LoginTestRunner","doLoginWithInvalidPass","Verify unsuccessful login with valid email invalid password",""
"passed","Thu Mar 14 13:00:52 BDT 2024","Thu Mar 14 13:00:52 BDT 2024","37","Orange HRM Automation","PIM Automation","testrunner.PIMTestRunner","testrunner.PIMTestRunner","employeeCreatedSuccessfully","Verify that the employee's created successfully",""
"passed","Thu Mar 14 13:01:02 BDT 2024","Thu Mar 14 13:01:08 BDT 2024","5572","Orange HRM Automation","PIM Automation","testrunner.PIMTestRunner","testrunner.PIMTestRunner","employeeRegistrationWithDuplicateUsername","Verify unsuccessful creation of a new employee with a duplicate employee ID or username.",""
"passed","Thu Mar 14 13:01:46 BDT 2024","Thu Mar 14 13:01:46 BDT 2024","27","Orange HRM Automation","Employee Profile","testrunner.EmployeeProfileTestRunner","testrunner.EmployeeProfileTestRunner","assertProfPic","Verify that the employee's full name is displayed beside the profile icon after logging in",""
"passed","Thu Mar 14 13:00:03 BDT 2024","Thu Mar 14 13:00:06 BDT 2024","3754","Orange HRM Automation","Admin Login","testrunner.LoginTestRunner","testrunner.LoginTestRunner","doLoginWithEmptyCred","Verify unsuccessful login with empty admin credentials",""
"passed","Thu Mar 14 13:01:08 BDT 2024","Thu Mar 14 13:01:11 BDT 2024","3760","Orange HRM Automation","PIM Automation","testrunner.PIMTestRunner","testrunner.PIMTestRunner","searchUserWithValidEmpId","Search Employee by Valid ID",""
